"","Etiology","Genus_name","Organism_n"
"1","Actinomycetoma","Actinomadura",1816
"2","Actinomycetoma","Nocardia",5480
"3","Actinomycetoma","Streptomyces",1210
"4","Actinomycetoma","Unidentified_Actinomycetoma",13
"5","Eumycetoma","Acremonium",15
"6","Eumycetoma","Aspergillus",9
"7","Eumycetoma","Cladophialophora",5
"8","Eumycetoma","Cladosporium",1
"9","Eumycetoma","Exophiala",5
"10","Eumycetoma","Falcifomispora",22
"11","Eumycetoma","Fusarium",23
"12","Eumycetoma","Madurella",5930
"13","Eumycetoma","Medicopsis",10
"14","Eumycetoma","Microsporum",4
"15","Eumycetoma","Neoscytalidium",1
"16","Eumycetoma","Nigrograna",1
"17","Eumycetoma","Penicillium",1
"18","Eumycetoma","Phaeoacremonium",1
"19","Eumycetoma","Sarocladium",4
"20","Eumycetoma","Scedosporium",70
"21","Eumycetoma","Trematosphaeria",143
"22","Eumycetoma","Trichophyton",6
"23","Eumycetoma","Unidentified_Eumycetoma",6327
"24","Eumycetoma","Xenoacremonium",2
"25","Not_reported","Not_reported",2147
"26","Unidentified","Unidentified",320
